iter	Passed	Remaining
0	168	168260
1	172	85959
2	175	58446
3	179	44598
4	182	36338
5	185	30790
6	189	26888
7	193	23969
8	196	21636
9	199	19787
10	203	18296
11	206	17026
12	210	15981
13	214	15085
14	218	14327
15	221	13631
16	225	13016
17	228	12471
18	232	11986
19	235	11535
20	238	11134
21	242	10773
22	245	10435
23	249	10136
24	252	9853
25	255	9581
26	258	9329
27	262	9101
28	265	8897
29	269	8711
30	273	8535
31	276	8362
32	280	8207
33	283	8055
34	286	7911
35	290	7771
36	293	7646
37	296	7517
38	299	7391
39	303	7277
40	306	7170
41	310	7074
42	313	6972
43	316	6874
44	319	6785
45	323	6703
46	326	6629
47	330	6548
48	333	6475
49	336	6398
50	339	6326
51	343	6256
52	346	6191
53	350	6136
54	353	6082
55	357	6027
56	360	5970
57	364	5921
58	368	5871
59	371	5821
60	374	5769
61	378	5723
62	382	5681
63	385	5636
64	388	5589
65	391	5547
66	395	5504
67	397	5446
68	400	5407
69	404	5368
70	407	5336
71	411	5300
72	414	5261
73	417	5223
74	420	5190
75	424	5161
76	427	5126
77	430	5093
78	434	5066
79	438	5037
80	441	5009
81	444	4980
82	448	4953
83	451	4928
84	454	4891
85	458	4867
86	460	4831
87	463	4804
88	466	4776
89	469	4749
90	472	4722
91	476	4698
92	479	4674
93	482	4652
94	485	4627
95	489	4606
96	492	4586
97	496	4566
98	499	4548
99	503	4529
100	506	4510
101	508	4480
102	512	4462
103	515	4442
104	518	4423
105	521	4401
106	525	4383
107	528	4364
108	531	4347
109	535	4330
110	538	4313
111	541	4296
112	545	4280
113	548	4265
114	551	4245
115	554	4226
116	557	4208
117	560	4191
118	564	4176
119	567	4162
120	571	4150
121	574	4136
122	577	4114
123	580	4099
124	583	4086
125	586	4071
126	590	4057
127	592	4037
128	595	4024
129	599	4009
130	602	3995
131	605	3983
132	608	3969
133	612	3955
134	615	3942
135	618	3929
136	622	3919
137	625	3904
138	628	3894
139	632	3882
140	635	3870
141	638	3858
142	641	3846
143	644	3833
144	648	3823
145	651	3812
146	654	3800
147	658	3790
148	661	3780
149	665	3769
150	668	3758
151	671	3747
152	675	3738
153	679	3731
154	683	3724
155	686	3714
156	690	3705
157	693	3695
158	696	3685
159	699	3674
160	703	3664
161	706	3653
162	709	3642
163	712	3632
164	716	3623
165	719	3615
166	723	3606
167	726	3596
168	729	3587
169	732	3578
170	736	3572
171	740	3564
172	743	3556
173	747	3548
174	750	3538
175	753	3529
176	757	3521
177	760	3511
178	763	3503
179	767	3494
180	768	3479
181	772	3472
182	775	3463
183	779	3456
184	782	3447
185	785	3438
186	788	3430
187	792	3422
188	795	3413
189	798	3405
190	802	3397
191	805	3389
192	809	3382
193	812	3375
194	815	3367
195	819	3359
196	822	3353
197	825	3344
198	829	3337
199	832	3329
200	835	3322
201	838	3314
202	841	3305
203	844	3296
204	847	3287
205	851	3280
206	854	3271
207	857	3264
208	860	3257
209	864	3251
210	867	3243
211	869	3232
212	872	3221
213	874	3211
214	876	3202
215	879	3193
216	882	3184
217	884	3173
218	887	3163
219	889	3152
220	890	3140
221	892	3127
222	893	3114
223	895	3101
224	896	3089
225	898	3076
226	899	3064
227	901	3051
228	902	3038
229	904	3026
230	905	3014
231	907	3003
232	908	2991
233	910	2979
234	910	2965
235	912	2952
236	912	2938
237	913	2925
238	914	2911
239	915	2898
240	916	2884
241	916	2871
242	917	2858
243	918	2845
244	919	2832
245	919	2819
246	920	2806
247	921	2794
248	922	2781
249	923	2769
250	924	2757
251	924	2745
252	925	2733
253	926	2720
254	927	2708
255	927	2696
256	928	2684
257	929	2673
258	930	2661
259	931	2650
260	931	2638
261	932	2627
262	933	2615
263	934	2604
264	935	2593
265	935	2582
266	936	2571
267	937	2560
268	938	2549
269	939	2538
270	939	2528
271	940	2517
272	941	2506
273	942	2496
274	942	2485
275	943	2475
276	944	2465
277	945	2454
278	945	2444
279	946	2434
280	947	2424
281	948	2414
282	949	2404
